iter	Passed	Remaining
593	4465	3052
594	4473	3044
595	4480	3037
596	4487	3029
597	4495	3021
598	4502	3014
599	4510	3006
600	4517	2999
601	4525	2991
602	4532	2984
603	4540	2976
604	4547	2969
605	4555	2961
606	4562	2953
607	4570	2946
608	4577	2938
609	4584	2931
610	4592	2923
611	4599	2916
612	4607	2908
613	4614	2901
614	4622	2893
615	4629	2885
616	4637	2878
617	4645	2871
618	4654	2865
619	4664	2858
620	4672	2851
621	4680	2844
622	4689	2837
623	4697	2830
624	4705	2823
625	4715	2817
626	4723	2810
627	4731	2803
628	4739	2795
629	4747	2788
630	4754	2780
631	4762	2773
632	4770	2765
633	4777	2757
634	4784	2750
635	4792	2743
636	4800	2735
637	4808	2728
638	4815	2720
639	4823	2713
640	4831	2705
641	4838	2698
642	4846	2690
643	4853	2683
644	4861	2675
645	4868	2668
646	4876	2660
647	4884	2653
648	4891	2645
649	4899	2638
650	4906	2630
651	4913	2622
652	4921	2615
653	4929	2607
654	4938	2601
655	4945	2593
656	4953	2586
657	4961	2579
658	4969	2571
659	4977	2564
660	4985	2556
661	4993	2549
662	5000	2541
663	5008	2534
664	5016	2526
665	5023	2519
666	5031	2511
667	5038	2504
668	5046	2496
669	5054	2489
670	5062	2482
671	5069	2474
672	5077	2466
673	5085	2459
674	5093	2452
675	5101	2445
676	5109	2437
677	5117	2430
678	5125	2422
679	5132	2415
680	5140	2407
681	5148	2400
682	5155	2392
683	5163	2385
684	5170	2377
685	5178	2370
686	5186	2363
687	5194	2355
688	5202	2348
689	5210	2341
690	5219	2333
691	5226	2326
692	5234	2318
693	5241	2311
694	5249	2303
695	5256	2296
696	5263	2288
697	5270	2280
698	5278	2272
699	5285	2265
700	5293	2257
701	5301	2250
702	5308	2242
703	5315	2235
704	5323	2227
705	5330	2219
706	5337	2211
707	5344	2204
708	5352	2196
709	5359	2189
710	5367	2181
711	5374	2173
712	5381	2166
713	5389	2158
714	5396	2151
715	5404	2143
716	5412	2136
717	5420	2128
718	5427	2121
719	5434	2113
720	5441	2105
721	5449	2098
722	5456	2090
723	5463	2082
724	5471	2075
725	5478	2067
726	5485	2060
727	5494	2052
728	5501	2045
729	5509	2037
730	5516	2030
731	5523	2022
732	5530	2014
733	5538	2007
734	5545	1999
735	5553	1991
736	5560	1984
737	5567	1976
738	5574	1968
739	5582	1961
740	5589	1953
741	5596	1945
742	5603	1938
743	5611	1930
744	5619	1923
745	5627	1916
746	5636	1908
747	5644	1901
748	5653	1894
749	5662	1887
750	5672	1880
751	5680	1873
752	5690	1866
753	5699	1859
754	5708	1852
755	5717	1845
756	5725	1837
757	5734	1830
758	5742	1823
759	5750	1816
760	5759	1808
761	5767	1801
762	5776	1794
763	5784	1786
764	5793	1779
765	5801	1772
766	5809	1764
767	5818	1757
768	5826	1750
769	5834	1742
770	5842	1735
771	5849	1727
772	5856	1719
773	5864	1712
774	5872	1704
775	5880	1697
776	5888	1690
777	5896	1682
778	5905	1675
779	5913	1667
780	5921	1660
781	5929	1652
782	5937	1645
783	5944	1637
784	5952	1630
785	5959	1622
786	5968	1615
787	5975	1607
788	5984	1600
789	5991	1592
790	5999	1585
791	6006	1577
792	6014	1569
793	6022	1562
794	6031	1555
795	6040	1547
796	6048	1540
797	6056	1533
798	6065	1525
799	6073	1518
800	6081	1510
801	6089	1503
802	6098	1496
803	6106	1488
804	6115	1481
805	6130	1475
806	6145	1469
807	6154	1462
808	6163	1455
809	6175	1448
810	6184	1441
811	6192	1433
812	6201	1426
813	6209	1418
814	6218	1411
815	6226	1403
816	6234	1396
817	6242	1389
818	6250	1381
819	6258	1373
820	6266	1366
821	6274	1358
822	6282	1351
823	6290	1343
824	6297	1335
825	6304	1328
826	6312	1320
827	6320	1312
828	6327	1305
829	6335	1297
830	6343	1290
831	6351	1282
832	6359	1274
833	6367	1267
834	6374	1259
835	6382	1252
836	6390	1244
837	6398	1236
838	6405	1229
839	6413	1221
840	6420	1213
841	6427	1206
842	6434	1198
843	6443	1190
844	6450	1183
845	6457	1175
846	6465	1167
847	6472	1160
848	6480	1152
849	6487	1144
850	6495	1137
851	6503	1129
852	6510	1122
853	6518	1114
854	6525	1106
855	6532	1098
856	6540	1091
857	6547	1083
858	6555	1076
859	6563	1068
860	6571	1060
861	6578	1053
862	6586	1045
863	6594	1037
864	6601	1030
865	6609	1022
866	6617	1015
867	6624	1007
868	6632	999
869	6640	992
870	6648	984
871	6657	977
872	6665	969
873	6673	962
874	6681	954
875	6689	946
876	6696	939
877	6704	931
878	6712	923
879	6720	916
880	6728	908
881	6735	901
882	6743	893
883	6750	885
884	6758	878
885	6766	870
886	6773	862
887	6781	855
888	6789	847
889	6797	840
890	6804	832
891	6812	824
892	6820	817
893	6827	809
894	6835	801
895	6842	794
896	6850	786
897	6858	778
898	6865	771
899	6873	763
900	6880	756
901	6888	748
902	6896	740
903	6904	733
904	6912	725
905	6921	718
906	6929	710
907	6936	702
908	6944	695
909	6953	687
910	6961	680
911	6969	672
912	6977	664
913	6985	657
914	6994	649
915	7001	642
916	7009	634
917	7017	626
918	7025	619
919	7033	611
920	7042	604
921	7049	596
922	7057	588
923	7065	581
924	7073	573
925	7081	565
926	7091	558
927	7101	550
928	7110	543
929	7120	535
930	7130	528
931	7139	520
932	7148	513
933	7156	505
934	7165	498
935	7174	490
936	7182	482
937	7191	475
938	7200	467
939	7208	460
940	7217	452
941	7225	444
942	7234	437
943	7242	429
944	7251	422
945	7259	414
946	7268	406
947	7276	399
948	7284	391
949	7295	383
950	7303	376
951	7312	368
952	7321	361
953	7330	353
954	7338	345
955	7347	338
956	7355	330
957	7364	322
958	7373	315
959	7382	307
960	7392	299
961	7402	292
962	7411	284
963	7419	277
964	7429	269
965	7437	261
966	7445	254
967	7452	246
968	7460	238
969	7468	230
970	7475	223
971	7483	215
972	7491	207
973	7499	200
974	7506	192
975	7514	184
976	7521	177
977	7529	169
978	7537	161
979	7545	153
980	7552	146
981	7560	138
982	7568	130
983	7576	123
984	7583	115
985	7591	107
986	7598	100
987	7606	92
988	7614	84
